shape_code,human_readable_id,description,roof,semitransparency,OOB,surface_type,categorization,qualities
0x00a1,PANELNS,Directional panel switch; use dispatches TRIGGER lane 0 when active. Editor arrows use local same-QLo cmd-link matches.,,,,wall,base,262;775;776;781;783;796;804;814;816;2833;63759
0x00a2,PANELEW,East-west panel switch; nonzero frames with clear map state forward into TRIGGER lane 0 through the local QLo link id.,,,,wall,base,13;769;770;771;773;775;779;806;822;828;23070;23326;23582
0x00a4,,,,,,wall,base,18
0x00a6,,,,,,wall,base,0
0x00a9,,,,,,wall,base,0
0x00aa,barrel_shape_00aa,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,terrain,0
0x00ac,,,,,,wall,base,0
0x00ad,,,,,,wall,,
0x00ae,,,,,,wall,base,0
0x00af,,,,,,wall,base,0
0x00b1,,,,,,wall,base,0
0x00b2,,,,,,wall,base,0
0x00b3,,,,,,wall,base,0
0x00b4,,,,,,wall,base,0
0x00b5,,,,,,wall,base,0
0x00b6,,,,,,wall,base,0
0x00b7,,,,,,wall,base,0
0x00b8,,,,,,wall,base,0
0x00b9,,,,,,wall,base,0
0x00ba,,,,,,wall,base,0
0x00bb,,,,,,wall,base,0
0x00bc,,,,,,wall,base,0
0x00bd,,,,,,wall,helper,0
0x00be,,,,,,wall,base,0
0x00bf,,,,,,wall,base,0
0x00c0,,,,,,wall,base,7
0x00c1,,,,,,wall,base,0
0x00c2,,,,,,wall,base,0
0x00c3,,,,,,wall,base,8448
0x00c4,,,,,,wall,base,0
0x00c5,,,,,,wall,base,0
0x00c6,,,,,,wall,base,0
0x00c7,,,,,,wall,base,0
0x00c8,,,,,,wall,base,0
0x00c9,,,,,,wall,base,0
0x00ca,,,,,,wall,base,0
0x00cb,,,,,,wall,base,0
0x00cc,,,,,,wall,terrain,0
0x00cd,,,,,,wall,terrain,0
0x00ce,,,,,,wall,terrain,0
0x00cf,Invisible_Wall_NE,Editor Object,,true,,wall,editor,0
0x00d0,,,,,,wall,base,0
0x00d1,,,,,,wall,terrain,0
0x00d3,,,,,,wall,base,0
0x00d4,,,,,,wall,base,0;8
0x00d5,,,,,,wall,base,0
0x00d6,,,,,,wall,terrain,0
0x00d8,,,,,,wall,terrain,0
0x00d9,,,,,,wall,,
0x00da,,,,,,wall,base,16;19
0x00db,,,,,,wall,,
0x00dc,,,,,,wall,base,0;1;3
0x00de,,,,,,wall,base,1
0x00df,,,,,,wall,base,0
0x00e0,,,,,,wall,base,0
0x00e2,,,,,,wall,base,0
0x00e3,,,,,,wall,terrain,0
0x00e4,,,,,,wall,base,0
0x00e5,,,,,,wall,terrain,0
0x00e6,,,,,,wall,base,0
0x00e7,,,,,,wall,terrain,0
0x00e9,Invisible_Wall_SW,Editor Object,,true,,wall,editor,0
0x00eb,,,,,,wall,base,0
0x00ec,,,,,,wall,base,0
0x00ee,,,,,,wall,base,0
0x00ef,,,,,,wall,terrain,0
0x00f0,,,,,,wall,terrain,0
0x00f1,,,,,,wall,base,0
0x00f2,,,,,,wall,base,0
0x00f4,,,,,,wall,base,0
0x00f5,,,,,,wall,base,0
0x00f6,,,,,,wall,terrain,0
0x00f7,,,,,,wall,terrain,0
0x00f8,,,,,,wall,terrain,0
0x00f9,,,,,,wall,terrain,0
0x00fa,,,,,,wall,terrain,0
0x00fb,,,,,,wall,terrain,0
0x00fc,,,,,,wall,terrain,0
0x00fd,,,,,,wall,terrain,0
0x00fe,,,,,,wall,terrain,0
0x00ff,,,,,,wall,base,0
0x0100,,,,,,wall,base,0
0x0101,,,,,,wall,base,0
0x0102,MONITNS,Monitor/computer object with a live MONITNS use handler.,,,,wall,base,2333;40192
0x0103,,,,,,wall,base,0
0x0104,,,,,,wall,base,0
0x0105,,,,,,wall,base,0
0x0106,,,,,,wall,base,0
0x0107,,,,,,wall,base,0
0x0108,,,,,,wall,helper,0;4;5633
0x0109,,,,,,wall,terrain,0
0x010a,,,,,,wall,terrain,0
0x010b,,,,,,wall,terrain,0
0x010c,,,,,,wall,terrain,0
0x010d,,,,,,wall,terrain,0
0x010e,,,,,,wall,terrain,0
0x010f,,,,,,wall,terrain,0
0x0110,,,,,,wall,roof,6;17;45;47;90
0x0111,,,,,,wall,helper,6;21
0x0113,,,,,,wall,helper,0;11;17;22;1553;5376;11264
0x0114,,,,,,wall,base,0
0x0115,,,,,,wall,base,0
0x0116,,,,,,wall,terrain,0
0x0117,,,,,,wall,roof,0
0x0118,,,,,,wall,roof,0
0x0119,,,,,,wall,base,0
0x011a,,,,,,wall,base,0
0x011b,,,,,,wall,terrain,0
0x011c,,,,,,wall,terrain,0
0x011d,,,,,,wall,terrain,0
0x011e,SPIDER MINE,"Retail Regret DTable: SPIDER MINE (misc_item, display frame 0x001D, MiscTable_GetNameForItemShapeNo).",,,,wall,helper,0
0x011f,,,,,,wall,terrain,0
0x0120,FASTSKIL,"Retail Regret extracted usecode class FASTSKIL. enterFastArea waits briefly, gates on map-array clear, then uses frame/difficulty to dispatch TRIGGER lanes or remap QLo by +0/+1/+2.",,,,wall,editor,0
0x0126,,,,,,wall,base,0;2;16;18;44;101
0x0127,,,,,,wall,base,0;5;15;24;25;26;27;28;31;59;61;62;63;66;67;68;69;70;71;72;73;79;80;86;88;89
0x0128,,,,,,wall,base,0;8;17;23;44
0x0129,,,,,,wall,base,6;8;17;19;28;33;40
0x012a,,,,,,wall,base,0
0x012b,,,,,,wall,terrain,0
0x012c,,,,,,wall,base,0
0x012d,,,,,,wall,base,0
0x012e,ROOF_BLACK_012E,,true,,,wall,base,0;5;10;22;27;35;50
0x012f,,,,,,wall,terrain,3;4;29;30;32;39;95
0x0130,,,,,,wall,base,0
0x0131,,,,,,wall,terrain,0
0x0132,,,,,,wall,terrain,0
0x0133,,,,,,wall,terrain,0;2;11
0x0135,,,,,,wall,terrain,1;2;3;4;5;19;20;21;22;23;24;25
0x0136,,,,,,wall,base,0
0x0137,,,,,,wall,base,0
0x0138,,,,,,wall,terrain,0
0x0139,,,,,,wall,base,0
0x013a,,,,,,wall,terrain,0
0x013d,,,,,,wall,terrain,0
0x013e,,,,,,wall,base,0
0x013f,,,,,,wall,base,0;6;9;10;21
0x0140,,,,,,wall,terrain,0
0x0142,,,,,,wall,terrain,0
0x0143,,,,,,wall,terrain,0
0x0144,,,,,,wall,terrain,0
0x0145,,,,,,wall,terrain,0
0x0146,,,,,,wall,terrain,0
0x0147,,,,,,wall,terrain,0
0x0148,,,,,,wall,terrain,0
0x0149,,,,,,wall,terrain,0
0x014a,,,,,,wall,terrain,0
0x014b,,,,,,wall,terrain,0
0x014c,,,,,,wall,terrain,0
0x014d,,,,,,wall,terrain,0
0x014e,,,,,,wall,terrain,0
0x014f,,,,,true,wall,terrain,0
0x0150,,Editor Object,,,,wall,roof,0
0x0151,barrel_shape_0151,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,base,0
0x0152,barrel_shape_0152,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,base,0
0x0153,barrel_shape_0153,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,base,0
0x0154,barrel_shape_0154,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,base,0;77
0x0155,barrel_shape_0155,Auto-derived from BARREL self-shape comparison in USECODE,,,,wall,terrain,0
0x0156,,,,,,wall,base,0;2;3;5;7;11;13;20;26;28;36;46;48;54
0x0157,,,,,,wall,terrain,0
0x0158,,,,,,wall,base,0
0x0159,,,,,,wall,base,0
0x015a,,,,,,wall,terrain,0
0x015b,,,,,,wall,base,0
0x015c,,,,,,wall,base,0
0x015d,,,,,,wall,terrain,0
0x015e,,,,,,wall,terrain,0
0x015f,,,,,,wall,terrain,0
0x0160,,,,,,wall,base,0
0x0161,,,,,,wall,base,0
0x0162,,,,,,wall,base,0
0x0163,,,,,,wall,base,0
0x0164,,,,,,wall,base,0
0x0165,MONITEW,East-west monitor/computer object with a live MONITEW use handler.,,,,wall,base,0;302;540
0x0166,,,,,,wall,base,0
0x0167,,,,,,wall,base,5;6;25
0x0168,,,,,,wall,terrain,13;20;21
0x0169,,,,,,wall,base,0
0x016a,,,,,,wall,base,0
0x016b,,,,,,wall,base,0
0x016c,,,,,,wall,base,0
0x016d,,,,,,wall,base,0
0x016f,,,,,,wall,base,6;14;57
0x0170,,,,,,wall,base,0
0x0171,,,,,,wall,terrain,0
0x0172,,,,,,wall,terrain,0
0x0173,,,,,,wall,terrain,0
0x0174,,,,,,wall,base,0;1;5;8;15;19;258;263
0x0175,OOB_WALL_BLACK_0175,,,,true,wall,base,0
0x0176,,,,,,wall,terrain,0
0x0177,OOB_WALL_BLACK_0177,,,,true,wall,base,0
0x0178,OOB_WALL_BLACK_0178,,,,true,wall,base,0
0x0179,OOB_WALL_BLACK_0179,,,,true,wall,base,0
0x017a,OOB_WALL_BLACK_017A,,,,true,wall,base,0
0x017b,OOB_WALL_BLACK_017B,,,,true,wall,base,0
0x017c,OOB_WALL_BLACK_017C,,,,true,wall,base,0
0x017d,OOB_WALL_BLACK_017D,,,,true,wall,base,0
0x017e,OOB_WALL_BLACK_017E,,,,true,wall,base,0
0x017f,,,,,,wall,base,0
0x0180,,,,,,wall,base,0
0x0181,,,,,,wall,base,0
0x0182,,,,,,wall,terrain,0
0x0183,,,,,,wall,base,0
0x0184,,,,,,wall,base,0
0x0185,,,,,,wall,terrain,0
0x0186,,,,,,wall,base,0
0x0187,,,,,,wall,base,0
0x0188,,,,,,wall,terrain,0
0x0189,,,,,,wall,base,0
0x018a,,,,,,wall,roof,0;57
0x018b,,,,,,wall,base,0
0x018c,,,,,,wall,terrain,51277;51278;51457;51490;63779
0x018d,,,,,,wall,roof,20
0x018e,,,,,,wall,terrain,0
0x018f,,,,,,wall,base,0
0x0190,,,,,,wall,base,101;102;137;204;650
0x0191,RADIATION SHIELD,"Retail Regret DTable: RADIATION SHIELD (misc_item, display frame 0x0021, MiscTable_GetNameForItemShapeNo).",,,,wall,helper,5645
0x0192,,,,,,wall,base,0
0x0193,,,,,,wall,base,47
0x0194,,Editor Object,,,,wall,egg,1;30;101;102;131;137;138;250;286
0x0195,,,,,,wall,base,0
0x0196,,,,,,wall,base,2;3;8;10;12;18;31;266
0x0197,,,,,,wall,base,0
0x0198,XP-5,"Retail Regret DTable: XP-5 (weapon, display frame 0x0010, Weapon_GetNameForShapeNo).",,,,wall,base,0
0x0199,,,,,,wall,terrain,293;529;785
0x019a,,,,,,wall,base,4;5;8;10;13;14;34;25615;25616;25617
0x019b,,,,,,wall,helper,31;25622;25626;25629;25630;25631;25632
0x019c,,,,,,wall,helper,13;25;26
0x019d,,,,,,wall,terrain,0
0x019e,,,,,,wall,terrain,0
0x019f,,,,,,wall,base,0
0x01a0,,,,,,wall,base,0
0x01a2,,,,,,wall,base,0;21
0x01a3,,,,,,wall,base,0
0x01a4,,,,,,wall,base,0
0x01a5,,,,,,wall,base,0
0x01a6,,,,,,wall,base,0
0x01a7,,,,,,wall,base,0;8
0x01a8,,,,,,wall,base,0;17;30;44
0x01a9,,,,,,wall,base,0
0x01ab,,,,,,wall,base,3;35
0x01ac,,,,,,wall,terrain,0
0x01ad,,,,,,wall,terrain,0
0x01ae,,,,,,wall,terrain,0
0x01af,,,,,,wall,terrain,0
0x01b0,,,,,,wall,terrain,0
0x01b1,,,,,,wall,terrain,0
0x01b2,,,,,,wall,terrain,0
0x01b3,,,,,,wall,terrain,0
0x01b4,booty_shape_01b4,Auto-derived from BOOTY self-shape comparison in USECODE,,,,wall,helper,0
0x01b5,,,,,,wall,terrain,0
0x01b6,,,,,,wall,helper,265;272
0x01b7,,,,,,wall,helper,6;293
0x01b8,,,,,,wall,helper,265;272;276;281;26669
0x01b9,,,,,,wall,helper,5637;5638;31251;34064
0x01ba,,,,,,wall,helper,0;1
0x01bb,,,,,,wall,base,0
0x01bc,,,,,,wall,roof,0
0x01bd,,,,,,wall,terrain,0
0x01be,,,,,,wall,terrain,0
0x01bf,,,,,,wall,terrain,0;69
0x01c1,,,,,,wall,terrain,0
0x01c2,,,,,,wall,base,70;325
0x01c3,,,,,,wall,base,0
0x01c4,,,,,,wall,base,0
0x01c5,,,,,,wall,base,0
0x01c6,,,,,,wall,roof,1;7;37;38
0x01c7,,,,,,wall,base,13
0x01c8,,,,,,wall,terrain,1;2;3;5;6;7;8
0x01c9,,,,,,wall,base,70
0x01ca,,,,,,wall,terrain,0
0x01cb,,,,,,wall,base,576
0x01cc,,,,,,wall,base,265
0x01cd,,,,,,wall,helper,0;11;798;2816
0x01ce,,,,,,wall,base,31;38
0x01cf,,,,,,wall,base,268
0x01d0,,,,,,wall,base,278
0x01d1,,,,,,wall,base,278;521
0x01d2,,,,,,wall,base,276;290
0x01d3,,,,,,wall,base,257;276;290
0x01d4,,,,,,wall,terrain,0
0x01d5,,,,,,wall,base,1;12;20;34
0x01d6,,Editor Object,,,,wall,editor,0
0x01d7,,,,,,wall,helper,261;272;287;309
0x01d9,,,,,,wall,base,0
0x01da,,,,,,wall,terrain,0
0x01db,TELEPORTER_LIGHTS,,,,,wall,terrain,113
0x01dc,,,,,,wall,terrain,0
0x01dd,,,,,,wall,terrain,0
0x01de,,,,,,wall,terrain,0
0x01df,,,,,,wall,terrain,0
0x01e0,,,,,,wall,terrain,0
0x01e1,,,,,,wall,terrain,0
0x01e2,,,,,,wall,terrain,0
0x01e3,,,,,,wall,terrain,0
0x01e4,,,,,,wall,terrain,0
0x01e5,,,,,,wall,base,0
0x01e6,,,,,,wall,terrain,0
0x01e7,,,,,,wall,terrain,0
0x01e8,,,,,,wall,terrain,0
0x01e9,,,,,,wall,base,0
0x01ea,,,,,,wall,base,0
0x01eb,,,,,,wall,terrain,0
0x01ee,,,,,,wall,terrain,11;130;131;132
0x01ef,,,,,,wall,terrain,0
0x01f0,,,,,,wall,base,0
0x01f1,,,,,,wall,terrain,0
0x01f3,,,,,,wall,base,0
0x01f4,,,,,,wall,base,0
0x01f5,,,,,,wall,,
0x01f6,,,,,,wall,base,0
0x01f7,,,,,,wall,base,0
0x01f8,,,,,,wall,terrain,0
0x01f9,,,,,,wall,base,0
0x01fa,,,,,,wall,terrain,0
0x01fb,,,,,,wall,base,0
0x01fd,,,,,,wall,terrain,0
0x01fe,,,,,,wall,terrain,0
0x0200,,,,,,wall,base,0
0x0201,,,,,,wall,base,0
0x0202,,,,,,wall,base,0
0x0204,,,,,,wall,base,0
0x0205,,,,,,wall,base,0
0x0206,,,,,,wall,base,0
0x0207,,,,,,wall,base,0
0x0208,,,,,,wall,base,0
0x020a,,,,,,wall,base,0
0x020b,,,,,,wall,terrain,0
0x020c,,,,,,wall,terrain,0
0x020d,,,,,,wall,base,0
0x020e,,,,,,wall,terrain,0
0x020f,,,,,,wall,terrain,0
0x0210,,,,,,wall,terrain,0
0x0211,,,,,,wall,terrain,0
0x0212,,,,,,wall,base,1;7;23;54;67
0x0213,,,,,,wall,base,18;29;31
0x0214,,,,,,wall,terrain,0
0x0216,,,,,,wall,terrain,0
0x0217,,,,,,wall,terrain,0
0x0218,,,,,,wall,terrain,0
0x0219,,,,,,wall,terrain,0
0x021a,Roof_Black_2,,true,,,wall,base,2;3;4;5;7;8;9;10;15;16;22;27;30;38;50
0x021b,,,,,,wall,base,0
0x021d,,,,,,wall,terrain,19
0x021e,,,,,,wall,terrain,0
0x021f,,,,,,wall,base,0
0x0220,,,,,,wall,base,0
0x0221,,,,,,wall,terrain,0
0x0222,,,,,,wall,terrain,0
0x0223,,,,,,wall,terrain,0
0x0224,,,,,,wall,terrain,0
0x0225,,,,,,wall,terrain,0
0x0226,,,,,,wall,terrain,0
0x0227,,,,,,wall,terrain,2;8;21;28;32;74;98;25716
0x022c,,,,,,wall,terrain,65316
0x022d,,,,,,wall,base,11
0x0230,,,,,,wall,terrain,0
0x0231,,,,,,wall,terrain,0
0x0232,,,,,,wall,base,0
0x0233,,,,,,wall,base,0
0x0234,,,,,,wall,base,0
0x0235,,,,,,wall,base,0
0x0236,,,,,,wall,base,0
0x0237,,,,,,wall,base,0
0x0239,,,,,,wall,base,0
0x023b,,,,,,wall,base,0
0x023c,,,,,,wall,base,0
0x023d,,,,,,wall,terrain,0
0x023e,,,,,,wall,terrain,0
0x0240,,,,,,wall,base,32791
0x0241,,,,,,wall,base,0;3;33;34;5638
0x0244,,,,,,wall,base,0
0x0245,,,,,,wall,base,0
0x0246,,,,,,wall,base,0
0x0247,,,,,,wall,base,0
0x0248,,,,,,wall,base,0
0x0249,,,,,,wall,base,101
0x024a,,,,,,wall,base,0
0x024b,,,,,,wall,base,0
0x024c,,,,,,wall,terrain,0
0x024d,,,,,,wall,terrain,0
0x024e,,,,,,wall,terrain,0
0x024f,,,,,,wall,terrain,0
0x0250,,,,,,wall,base,0
0x0251,VALUEBOX,Local monitor/security/keypad payload box,,,,wall,editor,4;20;3100;3357;3875;4107;4130;4362;4893;4910;39973
0x0254,,,,,,wall,base,0
0x0256,,,,,,wall,base,0
0x0257,,,,,,wall,base,0
0x0258,,,,,,wall,base,0
0x025a,,,,,,wall,base,0
0x025d,,,,,,wall,terrain,0
0x025e,,,,,,wall,terrain,0
0x025f,,,,,,wall,helper,1566
0x0260,,,,,,wall,helper,0;5632;25649
0x0263,,,,,,wall,base,0
0x0264,,,,,,wall,base,0
0x0265,,,,,,wall,base,0
0x0266,,,,,,wall,base,0
0x0267,,,,,,wall,base,0
0x0268,,,,,,wall,base,0
0x026a,,,,,,wall,base,0
0x026b,,,,,,wall,base,0
0x026c,,,,,,wall,base,0
0x026f,,,,,,wall,base,0
0x0270,,,,,,wall,base,0
0x0271,,,,,,wall,base,0
0x0272,,,,,,wall,base,0
0x0275,,,,,,wall,base,0
0x0277,,,,,,wall,base,0
0x0278,,,,,,wall,,
0x027b,,,,,,wall,roof,0
0x027c,,,,,,wall,terrain,0
0x027d,,,,,,wall,terrain,0
0x027e,,,,,,wall,terrain,0
0x027f,,,,,,wall,terrain,0
0x0280,,,,,,wall,terrain,0
0x0281,,,,,,wall,terrain,0
0x0282,,,,,,wall,terrain,0
0x0283,,,,,,wall,terrain,0
0x0284,,,,,,wall,terrain,0
0x0285,,,,,,wall,terrain,0
0x0287,,,,,,wall,,
0x0288,,,,,,wall,base,0
0x0289,,,,,,wall,,
0x028b,,,,,,wall,terrain,29
0x028c,,,,,,wall,base,40;41;42
0x028d,,,,,,wall,,
0x028e,,,,,,wall,base,0
0x028f,FORCEFIELD_FLOOR_028F,,,true,,wall,base,0
0x0290,,Editor Object,,true,,wall,editor,22;23;24;25;26;27;28;29;30;31;7957
0x0292,,,,,,wall,terrain,9;15;284
0x0293,,,,,,wall,terrain,33;36
0x0295,,,,,,wall,base,0
0x0298,,,,true,,wall,roof,0
0x0299,,,,,,wall,base,0
0x029a,,,,,,wall,base,0
0x029d,,,,,,wall,base,0
0x029f,,,,,,wall,terrain,0
0x02a0,,,,,,wall,base,0
0x02a2,,,,,,wall,base,0
0x02a3,,,,,,wall,base,3;4;9;29;30;95;292
0x02a4,,,,,,wall,terrain,0
0x02a5,,,,,,wall,base,0
0x02a6,,,,,,wall,base,0
0x02a8,,,,,,wall,base,0
0x02ab,,,,,,wall,terrain,0
0x02ac,,,,,,wall,base,0
0x02ad,,,,,,wall,terrain,0
0x02b3,,,,,,wall,terrain,0
0x02b4,,,,,,wall,base,0
0x02b6,,,,,,wall,base,0
0x02b9,,,,,,wall,base,0
0x02ba,,,,,,wall,base,0
0x02bb,,,,,,wall,base,0
0x02bc,,,,,,wall,base,0
0x02bd,,,,,,wall,base,0
0x02be,,,,,,wall,base,0
0x02bf,,,,,,wall,base,0
0x02c0,,,,,,wall,base,0
0x02c1,,,,,,wall,base,0
0x02c2,,,,,,wall,base,0
0x02c3,,,,,,wall,helper,0
0x02c4,,,,,,wall,base,0
0x02c7,,,,,,wall,base,0
0x02c8,,,,,,wall,terrain,0
0x02c9,bbetty_shape_02c9,Auto-derived from BBETTY self-shape comparison in USECODE,,,,wall,,
0x02ca,,,,,,wall,terrain,0
0x02cb,,,,,,wall,helper,0
0x02d7,,,,,,wall,base,0;2
0x02d8,door_shape_02d8,Auto-derived from DOOR self-shape comparison in USECODE,,,,wall,roof,15;28;29
0x02d9,,,,,,wall,base,0
0x02dc,,,,,,wall,terrain,0
0x02dd,,,,,,wall,base,0
0x02de,,,,,,wall,terrain,0
0x02df,booty_shape_02df,Auto-derived from BOOTY self-shape comparison in USECODE,,,,wall,helper,0
0x02e0,,,,,,wall,base,0
0x02e1,,,,,,wall,terrain,0
0x02e2,,,,,,wall,base,0
0x02e3,,,,,,wall,base,0
