shape_code,human_readable_id,description,roof,semitransparency,OOB,categorization,qualities
0xa00a,PSX map 0 type 0041 section0_constructor_placements lane 0022 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa00b,PSX map 0 type 0042 section0_dispatch_roots lane 0022 palette 00 offset 00075FE8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:21:0040:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 21 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa00c,PSX map 0 type 0042 section0_constructor_placements lane 0022 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa00d,PSX map 0 type 0042 section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa00e,PSX map 0 type 0043 palette 00 offset 0008B48C,PSX type-to-art probe resolved through a donor art-template from type 004C using cc-signature-donor:004c. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa00f,PSX map 0 type 0044 section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa010,PSX map 0 type 0044 section0_dispatch_roots lane 0022 palette 1D offset 00074FF8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:24:004c:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 24 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa011,PSX map 0 type 0044 section0_constructor_placements lane 0020 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa012,PSX map 0 type 0044 section0_constructor_placements lane 0022 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa013,PSX map 0 type 0045 section0_constructor_placements lane 0030 palette 25 offset 0008223C,PSX type-to-art cohort probe for section0_constructor_placements lane 0030 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:62:0040:section0_constructor_placements:0030. The drawable bundle bytes are borrowed from map 62 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa014,PSX map 0 type 0045 section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa015,PSX map 0 type 0046 palette 00 offset 0008B48C,PSX type-to-art probe resolved through a donor art-template from type 004C using cross-map-generic-family-donor:0:004c. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa016,PSX map 0 type 0047 section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa017,PSX map 0 type 0047 section0_constructor_placements lane 0030 palette 00 offset 000876C0,PSX type-to-art cohort probe for section0_constructor_placements lane 0030 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:102:004c:section0_constructor_placements:0030. The drawable bundle bytes are borrowed from map 102 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa018,PSX map 0 type 0048 section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa019,PSX map 0 type 0048 section0_dispatch_roots lane 0022 palette 36 offset 00075934,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through the parsed per-type art-template bank using cohort-cross-map-type-donor:43:0048:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 43 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01a,PSX map 0 type 0048 section0_constructor_placements lane 0020 palette 36 offset 00075934,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through the parsed per-type art-template bank using cohort-cross-map-type-lane-donor:43:0048:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 43 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01b,PSX map 0 type 0048 section0_constructor_placements lane 0022 palette 36 offset 00075934,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through the parsed per-type art-template bank using cohort-cross-map-type-lane-donor:43:0048:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 43 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01c,PSX map 0 type 0049 section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01d,PSX map 0 type 0049 section0_constructor_placements lane 0022 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-family-lane-donor:0:004c:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01e,PSX map 0 type 0049 section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-family-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa01f,PSX map 0 type 004A section0_dispatch_roots lane 0020 palette 23 offset 00071CF8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:9:004c:section0_dispatch_roots:0020. The drawable bundle bytes are borrowed from map 9 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa020,PSX map 0 type 004A section0_dispatch_roots lane 0022 palette 23 offset 00071CF8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:9:004c:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 9 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa021,PSX map 0 type 004A section0_constructor_placements lane 0020 palette 23 offset 00071CF8,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:9:004c:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 9 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa022,PSX map 0 type 004B section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa023,PSX map 0 type 004B section0_dispatch_roots lane 0022 palette 1D offset 00074FF8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:24:004c:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 24 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa024,PSX map 0 type 004B section0_constructor_placements lane 0020 palette 0C offset 000777A4,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:2:004c:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 2 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa025,PSX map 0 type 004B section0_constructor_placements lane 0022 palette 0C offset 000777A4,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:2:004c:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 2 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa026,PSX map 0 type 004C palette 00 offset 0008B48C,PSX type-to-art probe resolved through the parsed per-type art-template bank using payload-dword-bundle-index. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa027,PSX map 0 type 004D palette 00 offset 0008B48C,PSX type-to-art probe resolved through a donor art-template from type 004C using cc-signature-donor:004c. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa028,PSX map 0 type 004E section0_constructor_placements lane 0022 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-family-lane-donor:0:004c:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa029,PSX map 0 type 004E section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-family-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02a,PSX map 0 type 004F palette 00 offset 000AB0AC,PSX type-to-art probe resolved through a donor art-template from type 00AF using cc-signature-donor:00af. The scene renderer uses the parsed DAT_800758cc state script to choose among 4 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02b,PSX map 0 type 0050 palette 1D offset 00085C40,PSX type-to-art probe resolved through the parsed per-type art-template bank using payload-dword-bundle-index. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02c,PSX map 0 type 0051 section0_constructor_placements lane 0022 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0050 using cohort-cc-signature-lane-donor:0:0050:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02d,PSX map 0 type 0051 section0_constructor_placements lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0050 using cohort-cc-signature-lane-donor:0:0050:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02e,PSX map 0 type 0052 section0_constructor_placements lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0050 using cohort-cc-signature-lane-donor:0:0050:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa02f,PSX map 0 type 0052 section0_constructor_placements lane 0022 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0050 using cohort-cc-signature-lane-donor:0:0050:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa030,PSX map 0 type 0053 palette 0C offset 00087898,PSX type-to-art probe resolved through a donor art-template from type 00B3 using cc-signature-donor:00b3. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa031,PSX map 0 type 0054 palette 1D offset 00085C40,PSX type-to-art probe resolved through the parsed per-type art-template bank using payload-dword-bundle-index. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa032,PSX map 0 type 0055 section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa033,PSX map 0 type 0055 section0_dispatch_roots lane 0022 palette 36 offset 0007710C,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:43:0040:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 43 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa034,PSX map 0 type 0055 section0_constructor_placements lane 0020 palette 00 offset 0007E3B4,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:45:0054:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 45 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa035,PSX map 0 type 0055 section0_constructor_placements lane 0022 palette 35 offset 0009386C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:107:004c:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 107 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 2 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa036,PSX map 0 type 0056 section0_constructor_placements lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:0:0054:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa037,PSX map 0 type 0056 section0_constructor_placements lane 0022 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:0:0054:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa038,PSX map 0 type 0057 palette 1D offset 00085C40,PSX type-to-art probe resolved through a donor art-template from type 0054 using cc-signature-donor:0054. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa039,PSX map 0 type 0058 section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03a,PSX map 0 type 0058 section0_dispatch_roots lane 0022 palette 23 offset 00080AC8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:1:0054:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 1 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03b,PSX map 0 type 0058 section0_constructor_placements lane 0022 palette 23 offset 00080AC8,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:1:0054:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 1 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03c,PSX map 0 type 0058 section0_constructor_placements lane 0020 palette 23 offset 00080AC8,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0054 using cohort-cc-signature-lane-donor:1:0054:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 1 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03d,PSX map 0 type 0059 section0_dispatch_roots lane 0020 palette 0C offset 000777A4,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0050 using cohort-route-donor:2:0050:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 2 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03e,PSX map 0 type 0059 section0_dispatch_roots lane 0022 palette 23 offset 00080AC8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:1:0054:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 1 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa03f,PSX map 0 type 0059 section0_constructor_placements lane 0020 palette 0C offset 000777A4,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0050 using cohort-cc-signature-lane-donor:2:0050:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 2 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa040,PSX map 0 type 0059 section0_constructor_placements lane 0022 palette 0C offset 000777A4,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0050 using cohort-cc-signature-family-donor:2:0050:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 2 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa041,PSX map 0 type 005A section0_dispatch_roots lane 0022 palette 68 offset 0007856C,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 0064 using cohort-cc-signature-lane-donor:26:0064:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 26 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
