shape_code,human_readable_id,description
0x0099,door_shape_0099,Auto-derived from DOOR self-shape comparison in USECODE
0x00AA,barrel_shape_00aa,Auto-derived from BARREL self-shape comparison in USECODE
0x00D1,,
0x0108,wallgun_shape_0108,Auto-derived from WALLGUN self-shape comparison in USECODE
0x0111,,
0x0113,wallgun_shape_0113,Auto-derived from WALLGUN self-shape comparison in USECODE
0x0141,,
0x0151,barrel_shape_0151,Auto-derived from BARREL self-shape comparison in USECODE
0x0152,BARREL_YELLOW_SIDEWAYS_0152,Auto-derived from BARREL self-shape comparison in USECODE
0x0153,BARREL_YELLOW_SIDEWAYS_0153,Auto-derived from BARREL self-shape comparison in USECODE
0x0154,barrel_shape_0154,Auto-derived from BARREL self-shape comparison in USECODE
0x0155,barrel_shape_0155,Auto-derived from BARREL self-shape comparison in USECODE
0x017F,,
0x018F,,
0x0196,,
0x01B4,npcdeath_shape_01b4,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x01B9,wallgun_shape_01b9,Auto-derived from WALLGUN self-shape comparison in USECODE
0x01BA,wallgun_shape_01ba,Auto-derived from WALLGUN self-shape comparison in USECODE
0x01CD,wallgun_shape_01cd,Auto-derived from WALLGUN self-shape comparison in USECODE
0x01D9,,
0x025F,wallgun_shape_025f,Auto-derived from WALLGUN self-shape comparison in USECODE
0x0260,wallgun_shape_0260,Auto-derived from WALLGUN self-shape comparison in USECODE
0x02C3,,
0x02C4,,
0x02C9,bbetty_shape_02c9,Auto-derived from BBETTY self-shape comparison in USECODE
0x02CB,,
0x02DF,npcdeath_shape_02df,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x02F0,wallgun_shape_02f0,Auto-derived from WALLGUN self-shape comparison in USECODE
0x02F5,,
0x02F7,,
0x030A,door_shape_030a,Auto-derived from DOOR self-shape comparison in USECODE
0x030B,door_shape_030b,Auto-derived from DOOR self-shape comparison in USECODE
0x0319,npcdeath_shape_0319,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x033C,npc_shape_033c,Auto-derived from NPC self-shape comparison in USECODE
0x0344,,
0x0371,npcdeath_shape_0371,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x0373,wallgun_shape_0373,Auto-derived from WALLGUN self-shape comparison in USECODE
0x0383,,
0x0384,npcdeath_shape_0384,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x0385,,
0x0399,wallgun_shape_0399,Auto-derived from WALLGUN self-shape comparison in USECODE
0x03A1,wallgun_shape_03a1,Auto-derived from WALLGUN self-shape comparison in USECODE
0x03F8,,
0x03FF,,
0x0438,,
0x0439,,
0x043A,,
0x043B,,
0x043F,door2_shape_043f,Auto-derived from DOOR2 self-shape comparison in USECODE
0x0440,door2_shape_0440,Auto-derived from DOOR2 self-shape comparison in USECODE
0x044A,,
0x0456,,
0x0459,,
0x045A,,
0x045D,,
0x045E,,
0x045F,,
0x0460,,
0x0461,,
0x0470,,
0x0471,,
0x04D1,npcdeath_shape_04d1,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x04E6,,
0x04F9,,
0x04FA,,
0x04FD,,
0x04FE,,
0x050A,,
0x0511,,
0x0518,,
0x0528,npcdeath_shape_0528,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x052C,,
0x0576,,
0x057A,,
0x057F,,
0x0580,,
0x058F,,
0x0596,,
0x059C,,
